YEAR,MONTH,STORE,DAYPART,CATEGORY_ID,REVENUE_NET,QTY
2018,9,9,D,10,2300,350
2018,9,9,L,10,10800,1720
2018,10,9,B,10,19000,3290
2018,10,9,D,10,2200,340
2018,10,9,L,10,11100,1790
2018,11,9,B,10,16800,2900
2018,11,9,D,10,2100,330
2018,11,9,L,10,8800,1410
2018,12,9,B,10,16500,2840
2018,12,9,D,10,2700,420
2018,12,9,L,10,11200,1780
2019,1,9,B,10,14300,2420
2019,1,9,D,10,2800,420
2019,1,9,L,10,11500,1830
2019,2,9,B,10,14100,2350
2019,2,9,D,10,2600,390
2019,2,9,L,10,10200,1560
2019,3,9,B,10,15500,2640
2019,3,9,D,10,2800,430
2019,3,9,L,10,10200,1590
2019,4,9,B,10,15700,2650
2019,4,9,D,10,2700,390
2019,4,9,L,10,10800,1680
2019,5,9,B,10,16700,2800
2019,5,9,D,10,2300,340
2019,5,9,L,10,9400,1480
2019,6,9,B,10,18200,2980
2019,6,9,D,10,2900,440
2019,6,9,L,10,11000,1690
2018,1,10,B,10,22700,4270
2018,1,10,D,10,5500,890
2018,1,10,L,10,16500,2810
2018,2,10,B,10,20600,3860
2018,2,10,D,10,5700,920
2018,2,10,L,10,14800,2540
2018,3,10,B,10,24300,4480
2018,3,10,D,10,6100,980
2018,3,10,L,10,15500,2620
2018,4,10,B,10,23900,4330
2018,4,10,D,10,5600,880
2018,4,10,L,10,16400,2690
2018,5,10,B,10,24300,4450
2018,5,10,D,10,5700,900
2018,5,10,L,10,16000,2660
2018,6,10,B,10,24400,4450
2018,6,10,D,10,5800,890
2018,6,10,L,10,14600,2430
2018,7,10,B,10,23800,4290
2018,7,10,D,10,5200,810
2018,7,10,L,10,16000,2670
2018,8,10,B,10,25600,4660
2018,8,10,D,10,4900,770
2018,8,10,L,10,15200,2550
2018,9,10,B,10,24700,4480
2018,9,10,D,10,5000,780
2018,9,10,L,10,15700,2580
2018,10,10,B,10,24600,4470
2018,10,10,D,10,4800,760
2018,10,10,L,10,17400,2900
2018,11,10,B,10,24000,4260
2018,11,10,D,10,4700,730
2018,11,10,L,10,14000,2340
2018,12,10,B,10,24900,4450
2018,12,10,D,10,5200,810
2018,12,10,L,10,16900,2790
2019,1,10,B,10,20500,3620
2019,1,10,D,10,5400,810
2019,1,10,L,10,16700,2710
2019,2,10,B,10,18400,3190
2019,2,10,D,10,4300,650
2019,2,10,L,10,15000,2370
2019,3,10,B,10,21700,3800
2019,3,10,D,10,4700,720
2019,3,10,L,10,15400,2480
2019,4,10,B,10,20400,3580
2019,4,10,D,10,4000,610
2019,4,10,L,10,14000,2270
2019,5,10,B,10,21900,3810
2019,5,10,D,10,4300,670
2019,5,10,L,10,12800,2070
2019,6,10,B,10,19100,3300
2019,6,10,D,10,4000,610
2019,6,10,L,10,14400,2260
2018,1,1,B,15,3200,1210
2018,1,1,D,15,1200,400
2018,1,1,L,15,2100,740
2018,2,1,B,15,3400,1290
2018,2,1,D,15,1200,410
2018,2,1,L,15,2300,820
2018,3,1,B,15,4500,1630
2018,3,1,D,15,1400,460
2018,3,1,L,15,2100,740
2018,4,1,B,15,5200,1830
2018,4,1,D,15,1500,480
2018,4,1,L,15,2700,910
2018,5,1,B,15,5400,1960
2018,5,1,D,15,1600,510
2018,5,1,L,15,2900,960
2018,6,1,B,15,5700,2030
