STORE,DAYPART,YEAR,MONTH,CUSTOMER_COUNT
10,L,2018,6,8129
10,L,2018,7,8755
10,L,2018,8,8485
10,L,2018,9,8566
10,L,2018,10,9253
10,L,2018,11,8071
10,L,2018,12,8649
10,L,2019,1,8370
10,L,2019,2,7090
10,L,2019,3,8096
10,L,2019,4,7564
10,L,2019,5,7383
10,L,2019,6,7259
